Date,Rating
09-11-2023,
10-11-2023,2532
11-11-2023,2544
12-11-2023,2544
13-11-2023,2525
14-11-2023,2525
15-11-2023,2525
16-11-2023,2525
17-11-2023,2525
18-11-2023,2525
19-11-2023,2525
20-11-2023,2525
21-11-2023,2525
22-11-2023,2525
23-11-2023,2525
24-11-2023,2525
25-11-2023,2525
26-11-2023,2525
27-11-2023,2525
28-11-2023,2525
29-11-2023,2525
30-11-2023,2525
01-12-2023,2525
02-12-2023,2525
03-12-2023,2525
04-12-2023,2525
05-12-2023,2525
06-12-2023,2525
07-12-2023,2525
08-12-2023,2525
09-12-2023,2525
